learning_object,question_text,suggested_solution,difficulty
LO-00015,Một cửa hàng bán một loại áo với giá 250 nghìn đồng/chiếc. Chi phí sản xuất (vốn) cho mỗi chiếc áo là 180 nghìn đồng. Cửa hàng cần bán được ít nhất bao nhiêu chiếc áo để tiền lãi thu được lớn hơn 5 triệu đồng?,"Ta cần lập bất đẳng thức biểu diễn tổng tiền lãi.  **Lời giải:** - Bước 1: Gọi \(x\) là số chiếc áo cần bán (\(x\) nguyên dương). - Bước 2: Tính tiền lãi trên mỗi chiếc áo:   \(250 - 180 = 70\) (nghìn đồng). - Bước 3: Viết biểu thức tính tổng tiền lãi:   \(70x\) (nghìn đồng). - Bước 4: Lập và giải bất đẳng thức. (Lưu ý đổi đơn vị: 5 triệu đồng = 5000 nghìn đồng).   \(70x > 5000\)   \(\Leftrightarrow x > \frac{5000}{70} \approx 71.42\) - Bước 5: Kết luận.   Vì \(x\) phải là số nguyên, nên số áo ít nhất cần bán là 72 chiếc.  Vậy cửa hàng cần bán được ít nhất 72 chiếc áo.",Thông hiểu
LO-00015,"Chu vi của một tam giác là 24 cm. Biết cạnh thứ nhất dài 7 cm, cạnh thứ hai dài \(x\) cm. Tìm các giá trị có thể của \(x\), biết rằng trong một tam giác, tổng độ dài hai cạnh bất kỳ luôn lớn hơn độ dài cạnh còn lại.","Ta cần áp dụng bất đẳng thức tam giác cho cả ba trường hợp.  **Lời giải:** - Bước 1: Tìm độ dài cạnh thứ ba.   Cạnh thứ ba có độ dài là \(24 - 7 - x = 17 - x\) (cm). - Bước 2: Lập các bất đẳng thức tam giác.   + \(7 + x > 17 - x \Leftrightarrow 2x > 10 \Leftrightarrow x > 5\)   + \(7 + (17 - x) > x \Leftrightarrow 24 > 2x \Leftrightarrow x < 12\)   + \(x + (17 - x) > 7 \Leftrightarrow 17 > 7\) (Luôn đúng) - Bước 3: Kết hợp các điều kiện.   Từ các bất đẳng thức trên, ta có \(5 < x < 12\).  Vậy các giá trị có thể của \(x\) là \(5 < x < 12\).",Thông hiểu
LO-00015,Một công ty viễn thông có hai gói cước: Gói A trả phí cố định 100.000 đồng/tháng và miễn phí gọi. Gói B không có phí cố định nhưng tính 1.500 đồng/phút gọi. Một người dự định sẽ gọi \(x\) phút trong một tháng. Người đó nên đăng ký gói B khi nào?,"Người đó nên đăng ký gói B khi tổng chi phí của gói B rẻ hơn tổng chi phí của gói A.  **Lời giải:** - Bước 1: Viết biểu thức tính chi phí cho mỗi gói.   + Chi phí gói A: \(C_A = 100000\) (đồng)   + Chi phí gói B: \(C_B = 1500x\) (đồng) - Bước 2: Lập bất đẳng thức.   Để gói B rẻ hơn gói A, ta cần \(C_B < C_A\).   \(1500x < 100000\) - Bước 3: Giải bất đẳng thức.   \(x < \frac{100000}{1500} = \frac{200}{3} \approx 66.67\)  Vậy, nếu người đó dự định gọi ít hơn khoảng 67 phút trong một tháng thì nên chọn gói B.",Vận dụng
LO-00015,Một người nông dân muốn làm một hàng rào hình chữ nhật để nuôi gà trên mảnh đất có sẵn bức tường dài làm một cạnh. Người đó có 100m lưới rào để làm 3 cạnh còn lại. Hỏi diện tích lớn nhất mà người nông dân có thể rào được là bao nhiêu?,"Ta sẽ lập biểu thức tính diện tích theo một biến, sau đó tìm giá trị lớn nhất của biểu thức đó.  **Lời giải:** - Bước 1: Gọi ẩn.   Gọi chiều rộng của hàng rào là \(x\) (m) (cạnh vuông góc với tường). Điều kiện \(0 < x < 50\).   Hai cạnh chiều rộng có tổng độ dài là \(2x\).   Cạnh chiều dài (song song với tường) sẽ có độ dài là \(100 - 2x\) (m). - Bước 2: Lập biểu thức tính diện tích.   \(S(x) = x(100 - 2x) = 100x - 2x^2\). - Bước 3: Tìm giá trị lớn nhất của S(x).   Ta có \(S(x) = -2(x^2 - 50x) = -2(x^2 - 2 \cdot x \cdot 25 + 25^2 - 25^2)\)   \(S(x) = -2[(x-25)^2 - 625] = -2(x-25)^2 + 1250\).   Vì \(-2(x-25)^2 \le 0\) với mọi \(x\), nên \(S(x) \le 1250\). - Bước 4: Kết luận.   Giá trị lớn nhất của diện tích là 1250 m², đạt được khi \(x-25=0 \Leftrightarrow x=25\) (m).   Khi đó, chiều rộng là 25m và chiều dài là \(100 - 2(25) = 50\)m.",Vận dụng
LO-00015,"Một ô tô dự định đi từ A đến B với vận tốc 50 km/h. Tuy nhiên, sau khi đi được 2/3 quãng đường, xe phải giảm vận tốc xuống còn 40 km/h. Do đó, xe đến B chậm hơn dự định 30 phút. Tính độ dài quãng đường AB.","Ta sẽ lập phương trình dựa trên sự chênh lệch thời gian thực tế so với thời gian dự định.  **Lời giải:** - Bước 1: Gọi ẩn và đổi đơn vị.   Gọi độ dài quãng đường AB là \(x\) (km, \(x>0\)).   30 phút = 0.5 giờ. - Bước 2: Biểu diễn các đại lượng.   + Thời gian dự định đi hết quãng đường AB: \(t_{dđ} = \frac{x}{50}\) (giờ).   + Thời gian đi 2/3 quãng đường đầu: \(t_1 = \frac{2x/3}{50} = \frac{2x}{150} = \frac{x}{75}\) (giờ).   + Thời gian đi 1/3 quãng đường còn lại: \(t_2 = \frac{x/3}{40} = \frac{x}{120}\) (giờ).   + Thời gian thực tế đi hết quãng đường: \(t_{tt} = t_1 + t_2 = \frac{x}{75} + \frac{x}{120}\). - Bước 3: Lập phương trình.   Vì đến chậm hơn 0.5 giờ, nên \(t_{tt} - t_{dđ} = 0.5\).   \(\left(\frac{x}{75} + \frac{x}{120}\right) - \frac{x}{50} = 0.5\) - Bước 4: Giải phương trình.   Mẫu chung là 600. \(8x + 5x - 12x = 300 \Leftrightarrow x = 300\). - Bước 5: Kết luận.   Quãng đường AB dài 300 km.",Vận dụng
LO-00015,"Một người muốn bơi từ bờ sông bên này (điểm A) sang một điểm C ở bờ bên kia. Do nước chảy, người đó đã bơi với vận tốc thực \(v_t = 2\) km/h theo hướng vuông góc với bờ sông, nhưng bị dòng nước có vận tốc \(v_n = 1\) km/h đẩy xiên đi và cập bờ ở điểm B. Để đến được điểm C, người đó phải đi bộ ngược dòng từ B về C. Biết chiều rộng của sông là 100m. Tìm quãng đường ngắn nhất người đó phải đi (tổng quãng đường bơi và đi bộ) và phải bơi theo hướng nào để đạt được điều đó?","Đây là bài toán tối ưu hóa, kết hợp vật lý và hình học.  **Lời giải:** - Bài toán này ở mức độ vận dụng cao, vượt quá chương trình lớp 9 thông thường. Tuy nhiên, có thể giải quyết bằng cách lập biểu thức và tìm GTNN. - Gọi \(x\) là khoảng cách BC. Quãng đường bơi là \(AB = \sqrt{100^2 + (BC+CD)^2}\) với CD là đoạn bị trôi. Cách tiếp cận này phức tạp.  **Cách giải phù hợp hơn với lớp 9 (nếu đề được điều chỉnh):** *Giả sử câu hỏi chỉ yêu cầu tính quãng đường người đó đã đi (bơi từ A đến B và đi bộ từ B về C, với C nằm đối diện A qua bờ bên kia).*  - Thời gian bơi qua sông: \(t = \frac{0.1 \text{ km}}{2 \text{ km/h}} = 0.05\) giờ. - Quãng đường bị dòng nước đẩy trôi (BC): \(BC = v_n \cdot t = 1 \cdot 0.05 = 0.05\) km = 50 m. - Quãng đường bơi (AB): \(AB = \sqrt{AC^2 + BC^2} = \sqrt{100^2 + 50^2} = \sqrt{12500} = 50\sqrt{5} \approx 111.8\) m. - Tổng quãng đường đã đi: \(AB + BC = 111.8 + 50 = 161.8\) m.",Vận dụng cao
LO-00015,"Một người gửi 100 triệu đồng vào ngân hàng với lãi suất 6%/năm, theo hình thức lãi kép (tiền lãi của kỳ trước được cộng vào vốn để tính lãi cho kỳ sau). Hỏi sau ít nhất bao nhiêu năm thì tổng số tiền cả vốn lẫn lãi người đó nhận được sẽ lớn hơn 150 triệu đồng?",Ta sẽ lập bất phương trình mũ để giải bài toán này.  **Lời giải:** - Bước 1: Gọi \(n\) là số năm gửi tiền (\(n\) nguyên dương). - Bước 2: Lập công thức tính tổng số tiền sau \(n\) năm.   Số tiền sau \(n\) năm là: \(T_n = 100 \cdot (1 + 0.06)^n = 100 \cdot (1.06)^n\) (triệu đồng). - Bước 3: Lập bất phương trình.   Ta cần tìm \(n\) nhỏ nhất sao cho \(T_n > 150\).   \(100 \cdot (1.06)^n > 150\)   \(\Leftrightarrow (1.06)^n > 1.5\) - Bước 4: Giải bất phương trình (sử dụng logarit hoặc thử lần lượt).   + Với \(n=6\): \((1.06)^6 \approx 1.4185 < 1.5\)   + Với \(n=7\): \((1.06)^7 \approx 1.5036 > 1.5\)  - Bước 5: Kết luận.   Vậy sau ít nhất 7 năm thì tổng số tiền sẽ lớn hơn 150 triệu đồng.,Vận dụng cao
LO-00016,Bất phương trình nào sau đây là bất phương trình bậc nhất một ẩn?,"Bất phương trình bậc nhất một ẩn có dạng \(ax + b < 0\) (hoặc \(>, \le, \ge\)), trong đó \(a, b\) là các số đã biết và \(a \ne 0\).  **Lời giải:** - A. \(x^2 - 1 > 0\): Đây là bất phương trình bậc hai. - B. \(3x - 5 < 0\): Đây là bất phương trình bậc nhất một ẩn với \(a=3, b=-5\). - C. \(0x + 7 > 0\): Đây không phải là bất phương trình bậc nhất một ẩn vì \(a=0\). - D. \(2x + y \le 3\): Đây là bất phương trình bậc nhất hai ẩn.  **Đáp án đúng là B.**",Nhận biết
LO-00016,Giá trị \(x = 2\) có phải là một nghiệm của bất phương trình \(3x - 1 > 4\) không?,"Để kiểm tra, ta thay giá trị \(x=2\) vào bất phương trình và xem xét mệnh đề nhận được là đúng hay sai.  **Lời giải:** - Bước 1: Thay \(x=2\) vào vế trái của bất phương trình:   \(3(2) - 1 = 6 - 1 = 5\). - Bước 2: So sánh kết quả với vế phải.   Ta có bất đẳng thức \(5 > 4\). - Bước 3: Kết luận.   Vì \(5 > 4\) là một khẳng định đúng, nên \(x=2\) là một nghiệm của bất phương trình.",Nhận biết
LO-00016,"Trong bất phương trình \(5 - 2x \ge 0\), hãy xác định các hệ số \(a\) và \(b\) theo dạng chuẩn \(ax+b \ge 0\).","Ta cần viết lại bất phương trình theo đúng dạng \(ax+b \ge 0\) để xác định hệ số.  **Lời giải:** - Bất phương trình đã cho là \(5 - 2x \ge 0\). - Viết lại theo dạng chuẩn: \(-2x + 5 \ge 0\). - So sánh với dạng \(ax+b \ge 0\), ta có:   + Hệ số của \(x\) là \(a = -2\).   + Hằng số tự do là \(b = 5\).",Nhận biết
LO-00016,Bất phương trình \(x(x-1) < x^2 + 3\) có phải là bất phương trình bậc nhất một ẩn không? Vì sao?,"Ta cần biến đổi, rút gọn bất phương trình để xem nó có thể đưa về dạng \(ax+b < 0\) (với \(a \ne 0\)) hay không.  **Lời giải:** - Bước 1: Khai triển và chuyển vế.   \(x(x-1) < x^2 + 3\)   \(\Leftrightarrow x^2 - x < x^2 + 3\)   \(\Leftrightarrow x^2 - x - x^2 - 3 < 0\) - Bước 2: Rút gọn.   \(-x - 3 < 0\) - Bước 3: Kết luận.   Bất phương trình sau khi rút gọn có dạng \(ax+b < 0\) với \(a=-1 \ne 0\). Do đó, đây là một bất phương trình bậc nhất một ẩn.",Thông hiểu
LO-00016,Giá trị nào sau đây là một nghiệm của bất phương trình \(7 - 2x \le 1\)? A. \(x = 1\) B. \(x = 2\) C. \(x = 3\) D. \(x = 0\),"Ta có thể giải bất phương trình để tìm tập nghiệm, hoặc thay lần lượt các giá trị vào để kiểm tra.  **Lời giải (Cách 1: Giải BPT):** \(7 - 2x \le 1 \Leftrightarrow -2x \le -6 \Leftrightarrow x \ge 3\). Trong các giá trị đã cho, chỉ có \(x=3\) thỏa mãn \(x \ge 3\).  **Lời giải (Cách 2: Thay số):** - A. \(x=1\): \(7 - 2(1) = 5\). \(5 \le 1\) (Sai). - B. \(x=2\): \(7 - 2(2) = 3\). \(3 \le 1\) (Sai). - C. \(x=3\): \(7 - 2(3) = 1\). \(1 \le 1\) (Đúng). - D. \(x=0\): \(7 - 2(0) = 7\). \(7 \le 1\) (Sai).  **Đáp án đúng là C.**",Thông hiểu
LO-00016,Tìm một giá trị nguyên âm là nghiệm của bất phương trình \(3x + 10 > 1\).,"Ta cần giải bất phương trình để tìm tập nghiệm, sau đó chọn một số nguyên âm bất kỳ trong tập nghiệm đó.  **Lời giải:** - Bước 1: Giải bất phương trình.   \(3x + 10 > 1\)   \(\Leftrightarrow 3x > -9\)   \(\Leftrightarrow x > -3\) - Bước 2: Tìm một số nguyên âm trong tập nghiệm.   Tập nghiệm là \(x > -3\). Các số nguyên âm trong tập này là \(-2\) và \(-1\).  **Đáp án:** Một giá trị có thể là \(x = -2\) (hoặc \(x = -1\)).",Thông hiểu
LO-00016,Bất phương trình \((m-2)x + 5 > 0\) là bất phương trình bậc nhất một ẩn khi nào?,"Theo định nghĩa, một bất phương trình dạng \(ax+b > 0\) là bất phương trình bậc nhất một ẩn khi hệ số \(a\) của \(x\) phải khác 0.  **Lời giải:** - Bước 1: Xác định hệ số \(a\) của \(x\).   Trong bất phương trình \((m-2)x + 5 > 0\), hệ số \(a = m-2\). - Bước 2: Áp dụng điều kiện \(a \ne 0\).   \(m - 2 \ne 0\)   \(\Leftrightarrow m \ne 2\)  Vậy, bất phương trình đã cho là bất phương trình bậc nhất một ẩn khi \(m \ne 2\).",Vận dụng
LO-00016,Tìm tất cả các giá trị nguyên của \(x\) trong khoảng \((-5; 5)\) là nghiệm của bất phương trình \(2(x-1) > x+1\).,"Ta cần giải bất phương trình để tìm tập nghiệm, sau đó tìm giao của tập nghiệm này với khoảng \((-5; 5)\) và chọn ra các số nguyên.  **Lời giải:** - Bước 1: Giải bất phương trình.   \(2(x-1) > x+1\)   \(\Leftrightarrow 2x - 2 > x + 1\)   \(\Leftrightarrow x > 3\) - Bước 2: Tìm các số nguyên \(x\) thỏa mãn đồng thời \(x > 3\) và \(-5 < x < 5\).   Kết hợp hai điều kiện, ta có \(3 < x < 5\). - Bước 3: Liệt kê các số nguyên.   Số nguyên duy nhất trong khoảng \((3; 5)\) là 4.  Vậy giá trị nguyên cần tìm là \(x=4\).",Vận dụng
LO-00016,Tìm \(m\) để bất phương trình \(mx - 3 > x + m\) nhận \(x=2\) là một nghiệm.,"Để \(x=2\) là một nghiệm, khi thay \(x=2\) vào bất phương trình, ta phải được một bất đẳng thức đúng.  **Lời giải:** - Bước 1: Thay \(x=2\) vào bất phương trình:   \(m(2) - 3 > 2 + m\) - Bước 2: Giải bất phương trình ẩn \(m\).   \(2m - 3 > 2 + m\)   \(\Leftrightarrow 2m - m > 2 + 3\)   \(\Leftrightarrow m > 5\)  Vậy, với mọi giá trị \(m > 5\), bất phương trình đã cho sẽ nhận \(x=2\) là một nghiệm.",Vận dụng cao
LO-00016,Bất phương trình \((m^2 - 4)x + 2 < m\) không phải là bất phương trình bậc nhất một ẩn khi \(m\) nhận những giá trị nào?,"Một bất phương trình dạng \(ax+b<0\) không phải là bất phương trình bậc nhất một ẩn khi hệ số \(a\) của \(x\) bằng 0.  **Lời giải:** - Bước 1: Xác định hệ số \(a\) của \(x\).   Hệ số \(a = m^2 - 4\). - Bước 2: Đặt điều kiện \(a = 0\).   \(m^2 - 4 = 0\)   \(\Leftrightarrow (m-2)(m+2) = 0\)   \(\Leftrightarrow m = 2\) hoặc \(m = -2\).  Vậy, khi \(m=2\) hoặc \(m=-2\), bất phương trình đã cho không phải là bất phương trình bậc nhất một ẩn.",Vận dụng cao
LO-00017,Giải bất phương trình: \(4x - 8 > 0\).,"Đây là bất phương trình bậc nhất một ẩn dạng cơ bản.  **Lời giải:** - Bước 1: Áp dụng quy tắc chuyển vế, chuyển -8 sang vế phải và đổi dấu.   \(4x > 8\) - Bước 2: Áp dụng quy tắc chia, chia cả hai vế cho 4 (là một số dương) và giữ nguyên chiều bất phương trình.   \(x > \frac{8}{4}\)   \(\Leftrightarrow x > 2\)  Vậy tập nghiệm của bất phương trình là \(S = \{x | x > 2\}\).",Nhận biết
LO-00017,Tìm tập nghiệm của bất phương trình: \(-5x \ge 15\).,"Đây là bài toán cơ bản kiểm tra quy tắc nhân/chia với số âm.  **Lời giải:** - Bước 1: Ta cần chia cả hai vế của bất phương trình cho -5. - Bước 2: Vì -5 là một số âm, khi chia cả hai vế, ta phải đổi chiều bất phương trình từ ""≥"" thành ""≤"".   \(x \le \frac{15}{-5}\)   \(\Leftrightarrow x \le -3\)  Vậy tập nghiệm của bất phương trình là \(S = \{x | x \le -3\}\).",Nhận biết
LO-00017,Giải bất phương trình: \(7x - 5 \le 4x + 7\).,"Ta cần chuyển các hạng tử chứa ẩn về một vế và các hằng số về vế còn lại.  **Lời giải:** - Bước 1: Áp dụng quy tắc chuyển vế.   \(7x - 4x \le 7 + 5\) - Bước 2: Thu gọn hai vế.   \(3x \le 12\) - Bước 3: Chia cả hai vế cho 3 (số dương), giữ nguyên chiều bất phương trình.   \(x \le \frac{12}{3}\)   \(\Leftrightarrow x \le 4\)  Vậy nghiệm của bất phương trình là \(x \le 4\).",Thông hiểu
LO-00017,Tìm số nguyên \(x\) nhỏ nhất thỏa mãn bất phương trình: \(2(x + 3) < 5(x - 1) - 2\).,"Ta cần giải bất phương trình để tìm tập nghiệm, sau đó tìm số nguyên nhỏ nhất trong tập nghiệm đó.  **Lời giải:** - Bước 1: Khai triển hai vế.   \(2x + 6 < 5x - 5 - 2\)   \(\Leftrightarrow 2x + 6 < 5x - 7\) - Bước 2: Chuyển các hạng tử chứa \(x\) sang một vế, hằng số sang vế còn lại.   \(6 + 7 < 5x - 2x\)   \(\Leftrightarrow 13 < 3x\) - Bước 3: Tìm \(x\).   \(x > \frac{13}{3}\)   Vì \(\frac{13}{3} \approx 4.33\), nên \(x > 4.33\). - Bước 4: Tìm số nguyên nhỏ nhất.   Số nguyên nhỏ nhất lớn hơn 4.33 là 5.  Vậy số nguyên \(x\) nhỏ nhất thỏa mãn là 5.",Thông hiểu
LO-00017,Tập nghiệm của bất phương trình \(3 - (x - 1) \ge 2(3 - x)\) là gì?,Ta cần bỏ dấu ngoặc và rút gọn bất phương trình.  **Lời giải:** - Bước 1: Khai triển hai vế.   \(3 - x + 1 \ge 6 - 2x\)   \(\Leftrightarrow 4 - x \ge 6 - 2x\) - Bước 2: Chuyển vế.   \(-x + 2x \ge 6 - 4\) - Bước 3: Rút gọn.   \(x \ge 2\)  Vậy tập nghiệm của bất phương trình là \(S = \{x | x \ge 2\}\).,Thông hiểu
LO-00017,Giải bất phương trình: \(\frac{x-1}{2} - \frac{x-2}{3} > 1\).,"Đây là bất phương trình có chứa mẫu số là hằng số. Ta cần quy đồng mẫu để khử mẫu.  **Lời giải:** - Bước 1: Tìm mẫu số chung. Mẫu số chung của 2 và 3 là 6. - Bước 2: Quy đồng và khử mẫu. Nhân cả hai vế với 6 (số dương), giữ nguyên chiều bất phương trình.   \(3(x-1) - 2(x-2) > 6 \cdot 1\) - Bước 3: Khai triển và rút gọn.   \(3x - 3 - 2x + 4 > 6\)   \(\Leftrightarrow x + 1 > 6\) - Bước 4: Giải tìm \(x\).   \(x > 5\)  Vậy nghiệm của bất phương trình là \(x > 5\).",Vận dụng
LO-00017,Tìm tất cả các số nguyên dương là nghiệm của bất phương trình: \(1 - \frac{2x+1}{4} \ge \frac{x-5}{6}\).,"Ta giải bất phương trình để tìm tập nghiệm, sau đó chọn ra các số nguyên dương thỏa mãn.  **Lời giải:** - Bước 1: Tìm mẫu số chung là 12. Nhân cả hai vế với 12.   \(12 \cdot 1 - 12 \cdot \frac{2x+1}{4} \ge 12 \cdot \frac{x-5}{6}\)   \(\Leftrightarrow 12 - 3(2x+1) \ge 2(x-5)\) - Bước 2: Khai triển và rút gọn.   \(12 - 6x - 3 \ge 2x - 10\)   \(\Leftrightarrow 9 - 6x \ge 2x - 10\) - Bước 3: Chuyển vế và giải.   \(9 + 10 \ge 2x + 6x\)   \(\Leftrightarrow 19 \ge 8x\)   \(\Leftrightarrow x \le \frac{19}{8}\) - Bước 4: Tìm các số nguyên dương.   Ta có \(x \le 2.375\). Các số nguyên dương thỏa mãn điều kiện này là 1 và 2.  Vậy các số nguyên dương cần tìm là \(x \in \{1; 2\}\).",Vận dụng
LO-00017,Tìm giá trị của \(m\) để bất phương trình (ẩn \(x\)): \(2x - m > 5\) có nghiệm là \(x > 4\).,"Ta sẽ giải bất phương trình theo \(x\) để có biểu thức chứa \(m\), sau đó đồng nhất kết quả với nghiệm đã cho.  **Lời giải:** - Bước 1: Giải bất phương trình \(2x - m > 5\) theo \(x\).   \(2x > 5 + m\)   \(\Leftrightarrow x > \frac{5+m}{2}\) - Bước 2: Đồng nhất với nghiệm đã cho.   Để tập nghiệm là \(x > 4\), ta phải có:   \(\frac{5+m}{2} = 4\) - Bước 3: Giải phương trình tìm \(m\).   \(5 + m = 8\)   \(\Leftrightarrow m = 3\)  Vậy giá trị cần tìm là \(m=3\).",Vận dụng
LO-00017,Giải và biện luận bất phương trình theo tham số \(m\): \(m(x-1) < x+3\).,"Đây là bất phương trình chứa tham số ở hệ số của \(x\). Ta cần xét các trường hợp của hệ số này.  **Lời giải:** - Bước 1: Biến đổi bất phương trình về dạng \(Ax < B\).   \(mx - m < x + 3\)   \(\Leftrightarrow mx - x < m + 3\)   \(\Leftrightarrow (m-1)x < m + 3\) (1) - Bước 2: Biện luận theo \(m-1\).   + **Trường hợp 1:** Nếu \(m - 1 > 0 \Leftrightarrow m > 1\).     Chia hai vế của (1) cho \(m-1 > 0\), ta giữ nguyên chiều bất phương trình:     \(x < \frac{m+3}{m-1}\).   + **Trường hợp 2:** Nếu \(m - 1 < 0 \Leftrightarrow m < 1\).     Chia hai vế của (1) cho \(m-1 < 0\), ta phải đổi chiều bất phương trình:     \(x > \frac{m+3}{m-1}\).   + **Trường hợp 3:** Nếu \(m - 1 = 0 \Leftrightarrow m = 1\).     Bất phương trình (1) trở thành: \(0x < 1 + 3 \Leftrightarrow 0 < 4\). Đây là một khẳng định luôn đúng.     Vậy bất phương trình có nghiệm đúng với mọi \(x \in \mathbb{R}\). - **Kết luận:**   - Nếu \(m > 1\), nghiệm là \(x < \frac{m+3}{m-1}\).   - Nếu \(m < 1\), nghiệm là \(x > \frac{m+3}{m-1}\).   - Nếu \(m = 1\), bất phương trình có vô số nghiệm.",Vận dụng cao
LO-00017,Tìm các giá trị nguyên của \(x\) thỏa mãn đồng thời cả hai bất phương trình sau: \(3x - 2 > 2x + 1\) và \(5 - x \ge 1\).,"Ta cần giải từng bất phương trình, sau đó tìm giao (phần chung) của hai tập nghiệm.  **Lời giải:** - Bước 1: Giải bất phương trình thứ nhất.   \(3x - 2 > 2x + 1\)   \(\Leftrightarrow 3x - 2x > 1 + 2\)   \(\Leftrightarrow x > 3\) (1) - Bước 2: Giải bất phương trình thứ hai.   \(5 - x \ge 1\)   \(\Leftrightarrow -x \ge 1 - 5\)   \(\Leftrightarrow -x \ge -4\)   \(\Leftrightarrow x \le 4\) (2) - Bước 3: Tìm giao của hai tập nghiệm.   Ta cần tìm các giá trị \(x\) thỏa mãn cả (1) và (2), tức là \(3 < x \le 4\). - Bước 4: Tìm các giá trị nguyên.   Số nguyên duy nhất thỏa mãn \(3 < x \le 4\) là \(x=4\).  Vậy giá trị nguyên cần tìm là \(x=4\).",Vận dụng cao
LO-00018,Bất phương trình nào sau đây có dạng bất phương trình tích?,"Bất phương trình tích có dạng \(A(x) \cdot B(x) < 0\) (hoặc \(>, \le, \ge\)). Ta cần tìm phương trình có dạng này.  **Lời giải:** - A. \(2x - 10 > 0\): Bất phương trình bậc nhất. - B. \((x-1)(x+5) \ge 0\): Có dạng tích của hai biểu thức. Đây là bất phương trình tích. - C. \(\frac{x}{x-2} < 0\): Bất phương trình thương. - D. \(x^2 > 9\): Bất phương trình bậc hai.  **Đáp án đúng là B.**",Nhận biết
LO-00018,"Để giải bất phương trình \(|A(x)| < 5\), ta sử dụng phép biến đổi tương đương nào sau đây?",Đây là quy tắc cơ bản để giải bất phương trình chứa dấu giá trị tuyệt đối dạng \(|A| < B\) với \(B > 0\).  **Lời giải:** Bất phương trình \(|A(x)| < 5\) có nghĩa là khoảng cách từ \(A(x)\) đến 0 nhỏ hơn 5. Điều này xảy ra khi \(A(x)\) nằm giữa -5 và 5.  Phép biến đổi tương đương là: \(-5 < A(x) < 5\).,Nhận biết
LO-00018,Tìm tập nghiệm của bất phương trình \(x^2 - 25 \le 0\).,"Đây là bất phương trình bậc hai. Ta tìm nghiệm của phương trình \(x^2 - 25 = 0\) và áp dụng quy tắc xét dấu ""trong trái, ngoài cùng"".  **Lời giải:** - Bước 1: Tìm nghiệm của phương trình \(x^2 - 25 = 0 \Leftrightarrow x = 5\) hoặc \(x = -5\). - Bước 2: Lập trục xét dấu. Hệ số \(a = 1 > 0\). - Bước 3: Áp dụng quy tắc ""trong trái, ngoài cùng"". Trong khoảng hai nghiệm \((-5; 5)\), biểu thức \(x^2 - 25\) trái dấu với \(a\), tức là mang dấu âm. Ngoài khoảng hai nghiệm, biểu thức mang dấu dương. - Bước 4: Kết luận. Bất phương trình yêu cầu \(x^2 - 25 \le 0\) (lấy cả dấu âm và dấu bằng 0). Do đó, nghiệm là \(-5 \le x \le 5\).  Vậy tập nghiệm là \(S = [-5; 5]\).",Thông hiểu
LO-00018,Giải bất phương trình \((x-2)(x+5) > 0\).,"Đây là bất phương trình tích. Ta lập bảng xét dấu cho các nhị thức \(x-2\) và \(x+5\).  **Lời giải:** - Bước 1: Tìm nghiệm của các nhị thức: \(x-2=0 \Rightarrow x=2\); \(x+5=0 \Rightarrow x=-5\). - Bước 2: Lập bảng xét dấu: | x | -∞ | | -5 | | 2 | | +∞ | |---|---|---|---|---|---|---|---| | x+5 | | - | 0 | + | | + | | | x-2 | | - | | - | 0 | + | | | VT | | + | 0 | - | 0 | + | |  - Bước 3: Dựa vào bảng xét dấu, ta thấy vế trái (VT) lớn hơn 0 khi \(x < -5\) hoặc \(x > 2\).  Vậy tập nghiệm của bất phương trình là \(S = (-\infty; -5) \cup (2; +\infty)\).",Thông hiểu
LO-00018,Giải bất phương trình \(|2x - 3| \le 1\).,Ta áp dụng quy tắc giải bất phương trình \(|A| \le B\) (với \(B \ge 0\)) tương đương với \(-B \le A \le B\).  **Lời giải:** - Bước 1: Áp dụng quy tắc:   \(|2x - 3| \le 1 \Leftrightarrow -1 \le 2x - 3 \le 1\) - Bước 2: Giải bất phương trình kép.   Ta tách thành hai bất phương trình:   \(\begin{cases} -1 \le 2x - 3 \\ 2x - 3 \le 1 \end{cases} \Leftrightarrow \begin{cases} 2 \le 2x \\ 2x \le 4 \end{cases} \Leftrightarrow \begin{cases} x \ge 1 \\ x \le 2 \end{cases}\) - Bước 3: Kết hợp nghiệm.   \(1 \le x \le 2\)  Vậy tập nghiệm của bất phương trình là \(S = [1; 2]\).,Thông hiểu
LO-00018,Giải bất phương trình \(\frac{x-4}{x+1} > 0\).,"Đây là bất phương trình thương. Ta giải bằng cách lập bảng xét dấu tương tự như bất phương trình tích, lưu ý điều kiện mẫu khác 0.  **Lời giải:** - Bước 1: Tìm nghiệm của tử và mẫu.   + Tử: \(x-4 = 0 \Rightarrow x=4\)   + Mẫu: \(x+1 = 0 \Rightarrow x=-1\) - Bước 2: Lập bảng xét dấu (dấu || tại -1 để chỉ rằng biểu thức không xác định). | x | -∞ | | -1 | | 4 | | +∞ | |---|---|---|---|---|---|---|---| | x-4 | | - | | - | 0 | + | | | x+1 | | - | 0 | + | | + | | | VT | | + | || | - | 0 | + | |  - Bước 3: Dựa vào bảng xét dấu, ta thấy vế trái (VT) lớn hơn 0 khi \(x < -1\) hoặc \(x > 4\).  Vậy tập nghiệm của bất phương trình là \(S = (-\infty; -1) \cup (4; +\infty)\).",Vận dụng
