flashcard_type,topic,question,answer,explanation,hint,ordering_steps_items.step_content,ordering_steps_items.correct_order
Short Answer/Open-ended,5,Cho hai đường tròn (O; 7cm) và (O'; 3cm). Biết OO' = 4cm. Xác định vị trí tương đối của hai đường tròn này.,"Ta có R = 7cm, r = 3cm. R + r = 7 + 3 = 10cm. R - r = 7 - 3 = 4cm. Vì OO' = 4cm = R - r, nên hai đường tròn (O) và (O') tiếp xúc trong với nhau.",So sánh khoảng cách giữa hai tâm với tổng và hiệu hai bán kính.,"Tính R+r và R-r, rồi so sánh với OO'.",,
Concept/Theorem/Formula,5,Góc ở tâm và số đo cung bị chắn,Góc ở tâm là góc có đỉnh trùng với tâm đường tròn. Số đo của cung nhỏ bằng số đo của góc ở tâm chắn cung đó. Số đo của cung lớn bằng hiệu giữa 360 độ và số đo của cung nhỏ (có chung hai mút với cung lớn). Số đo của nửa đường tròn bằng 180 độ.,Góc ở tâm là cơ sở để định nghĩa số đo cung.,Đỉnh ở tâm. Cung nhỏ bằng góc ở tâm.,,
Fill in the Blank,5,Số đo của cung nhỏ bằng số đo của ___ chắn cung đó. Số đo của nửa đường tròn bằng ___ độ.,góc ở tâm; 180,Định nghĩa số đo cung.,Góc có đỉnh ở đâu? Một nửa của 360 độ.,,
Concept/Theorem/Formula,5,Góc nội tiếp: Định nghĩa và tính chất,Góc nội tiếp là góc có đỉnh nằm trên đường tròn và hai cạnh chứa hai dây cung của đường tròn đó. Tính chất: Số đo của góc nội tiếp bằng nửa số đo của cung bị chắn. Các góc nội tiếp cùng chắn một cung hoặc chắn các cung bằng nhau thì bằng nhau. Góc nội tiếp chắn nửa đường tròn là góc vuông (90 độ).,Góc nội tiếp có mối quan hệ quan trọng với cung bị chắn.,Đỉnh trên đường tròn. Bằng nửa cung bị chắn.,,
Identify the Error,5,Cho góc nội tiếp ABC chắn cung AC. Biết số đo cung AC là 80 độ. Tìm lỗi sai trong kết luận: Góc ABC = 80 độ.,Lỗi sai: Số đo góc nội tiếp bằng nửa số đo cung bị chắn. Kết luận đúng: Góc ABC = 1/2 số đo cung AC = 1/2 * 80 độ = 40 độ.,Nhầm lẫn giữa số đo góc nội tiếp và số đo cung bị chắn.,Góc nội tiếp bằng bao nhiêu phần cung bị chắn?,,
Ordering Steps,5,"Sắp xếp các bước chứng minh rằng: 'Trong một đường tròn, hai dây cung bằng nhau thì cách đều tâm'.",Thứ tự đúng thể hiện logic chứng minh hình học.,Sử dụng tam giác bằng nhau và khoảng cách từ tâm đến dây.,Kẻ các đường vuông góc từ tâm đến hai dây cung.,,
,,,,,,"Cho đường tròn (O) và hai dây AB = CD. Kẻ OH ⊥ AB tại H, OK ⊥ CD tại K. Ta cần chứng minh OH = OK.",1
,,,,,,"Vì OH ⊥ AB nên H là trung điểm của AB, AH = HB = AB/2. Vì OK ⊥ CD nên K là trung điểm của CD, CK = KD = CD/2.",2
,,,,,,Do AB = CD (giả thiết) nên AH = CK.,3
,,,,,,"Xét hai tam giác vuông OHA và OKC có: OA = OC (bán kính), AH = CK (chứng minh trên).",4
,,,,,,Suy ra ΔOHA = ΔOKC (cạnh huyền - cạnh góc vuông).,5
,,,,,,Do đó OH = OK (hai cạnh tương ứng). Vậy hai dây bằng nhau thì cách đều tâm.,6
What's the Next Step?,5,"Cho đường tròn (O) và dây AB. Kẻ đường kính CD vuông góc với AB tại I. Biết AB = 8cm, bán kính R = 5cm. Ta có IA = IB = 4cm. Để tính OI, ta xét tam giác OIA vuông tại I. Bước tiếp theo là gì?",Áp dụng định lý Pitago: \(OI^2 = OA^2 - IA^2 = R^2 - IA^2 = 5^2 - 4^2 = 25 - 16 = 9\). Suy ra \(OI = 3\) cm.,Sử dụng định lý Pitago trong tam giác vuông.,OA là bán kính.,,
Identify the Error,5,Cho hai đường tròn (O; 6cm) và (O'; 4cm) tiếp xúc ngoài tại A. Lỗi sai ở đâu trong kết luận: 'Đoạn nối tâm OO' = 6 - 4 = 2cm.',"Lỗi sai: Khi hai đường tròn tiếp xúc ngoài, đoạn nối tâm bằng tổng hai bán kính. Kết luận đúng: OO' = R + r = 6 + 4 = 10cm.",Nhầm lẫn giữa công thức tiếp xúc ngoài và tiếp xúc trong.,Tiếp xúc ngoài thì OO' bằng gì?,,
Concept/Theorem/Formula,5,Góc tạo bởi tiếp tuyến và dây cung,"Góc tạo bởi tiếp tuyến và dây cung là góc có đỉnh là tiếp điểm, một cạnh là tiếp tuyến và cạnh kia chứa dây cung đi qua tiếp điểm. Số đo của góc tạo bởi tiếp tuyến và dây cung bằng nửa số đo của cung bị chắn (cung nằm bên trong góc đó).","Loại góc này cũng có mối liên hệ với cung bị chắn, tương tự góc nội tiếp.",Đỉnh là tiếp điểm. Bằng nửa cung bị chắn bên trong.,,
What's the Next Step?,5,"Trên đường tròn (O), cho tiếp tuyến Ax tại A và dây cung AB. Biết số đo cung nhỏ AB là 100 độ. Để tính số đo góc xAB, ta áp dụng tính chất góc tạo bởi tiếp tuyến và dây cung. Bước tiếp theo là gì?",Số đo góc xAB bằng nửa số đo cung AB (cung nằm bên trong góc xAB). Vậy góc xAB = \(100^\circ / 2 = 50^\circ\).,Góc này bằng nửa số đo cung bị nó chắn.,Bằng nửa số đo cung nào?,,
Fill in the Blank,5,"Trong một đường tròn, góc nội tiếp chắn nửa đường tròn là góc ___. Số đo của góc tạo bởi tiếp tuyến và dây cung bằng ___ số đo của cung bị chắn.",vuông (90 độ); nửa,Các tính chất quan trọng của góc nội tiếp và góc tạo bởi tiếp tuyến và dây cung.,Góc vuông. Tương tự góc nội tiếp.,,
Ordering Steps,5,Sắp xếp các bước chứng minh rằng: 'Nếu một tứ giác có tổng hai góc đối bằng 180 độ thì tứ giác đó nội tiếp được đường tròn.' (Chứng minh bằng phản chứng).,Thứ tự đúng thể hiện logic của phương pháp phản chứng.,Một trong những cách chứng minh dấu hiệu nhận biết tứ giác nội tiếp.,Giả sử tứ giác không nội tiếp.,,
,,,,,,Cho tứ giác ABCD có góc A + góc C = 180 độ. Giả sử tứ giác ABCD không nội tiếp được đường tròn.,1
,,,,,,"Vẽ đường tròn (O) đi qua ba điểm A, B, D. Vì ABCD không nội tiếp (O) nên điểm C không thuộc (O).",2
,,,,,,Trường hợp 1: C nằm bên trong (O). Kéo dài BC cắt (O) tại C'. Khi đó ABC'D là tứ giác nội tiếp (O).,3
,,,,,,Suy ra góc A + góc BC'D = 180 độ. Mà góc A + góc BCD = 180 độ (giả thiết). Do đó góc BC'D = góc BCD.,4
,,,,,,Điều này vô lý vì góc BC'D là góc ngoài của tam giác CDC' nên phải lớn hơn góc BCD (góc trong không kề).,5
,,,,,,Trường hợp 2: C nằm bên ngoài (O) cũng dẫn đến mâu thuẫn tương tự.,6
,,,,,,"Vậy giả sử ban đầu là sai. Do đó, tứ giác ABCD phải nội tiếp được đường tròn.",7
Short Answer/Open-ended,5,"Cho đường tròn (O) đường kính AB. Lấy điểm C bất kỳ trên đường tròn (C khác A, B). Chứng minh tam giác ABC vuông tại C.","Xét tam giác ABC có đỉnh C nằm trên đường tròn (O) và cạnh AB là đường kính của đường tròn đó. Theo tính chất góc nội tiếp chắn nửa đường tròn, góc ACB là góc nội tiếp chắn nửa đường tròn (O). Do đó, góc ACB = 90 độ. Vậy tam giác ABC vuông tại C.",Sử dụng tính chất quan trọng của góc nội tiếp chắn nửa đường tròn.,Góc nội tiếp chắn nửa đường tròn có số đo bằng bao nhiêu?,,
Identify the Error,5,Cho đường tròn (O) và điểm A nằm ngoài đường tròn. Từ A kẻ cát tuyến ABC (B nằm giữa A và C) và tiếp tuyến AM (M là tiếp điểm). Lỗi sai ở đâu trong hệ thức: \(AM^2 = AB \cdot AC\).,Không có lỗi sai. Đây là hệ thức đúng về phương tích của một điểm đối với đường tròn (hay tính chất của tiếp tuyến và cát tuyến xuất phát từ một điểm).,Hệ thức này là một kết quả quan trọng trong hình học phẳng.,Tính chất của tiếp tuyến và cát tuyến.,,
Fill in the Blank,5,Nếu hai tiếp tuyến của một đường tròn cắt nhau tại một điểm thì điểm đó cách đều hai ___. Tia kẻ từ điểm đó đi qua tâm là tia ___ của góc tạo bởi hai tiếp tuyến.,tiếp điểm; phân giác,Tính chất của hai tiếp tuyến cắt nhau.,MA=MB. Phân chia góc.,,
Concept/Theorem/Formula,5,Góc có đỉnh bên trong và bên ngoài đường tròn,1. Góc có đỉnh bên trong đường tròn: Số đo bằng nửa tổng số đo hai cung bị chắn (một cung nằm trong góc và cung kia nằm trong góc đối đỉnh). 2. Góc có đỉnh bên ngoài đường tròn (hai cạnh cắt hoặc tiếp xúc đường tròn): Số đo bằng nửa hiệu số đo hai cung bị chắn (cung lớn trừ cung nhỏ).,Các loại góc này có công thức tính số đo dựa trên các cung bị chắn.,"Trong thì tổng, ngoài thì hiệu.",,
Concept/Theorem/Formula,7,Hàm số \(y = ax^2 (a \ne 0)\): Tính chất và đồ thị,"Tính chất: Nếu \(a > 0\), hàm số đồng biến khi \(x > 0\), nghịch biến khi \(x < 0\). Giá trị nhỏ nhất của hàm số là y = 0 khi x = 0. Nếu \(a < 0\), hàm số đồng biến khi \(x < 0\), nghịch biến khi \(x > 0\). Giá trị lớn nhất của hàm số là y = 0 khi x = 0. Đồ thị là một parabol có đỉnh O(0,0), nhận trục Oy làm trục đối xứng. Nếu \(a > 0\), parabol quay bề lõm lên trên. Nếu \(a < 0\), parabol quay bề lõm xuống dưới.",Parabol là dạng đồ thị đặc trưng của hàm số bậc hai.,Dấu của a quyết định chiều biến thiên và hướng của bề lõm.,,
Fill in the Blank,7,"Đồ thị của hàm số \(y = ax^2 (a \ne 0)\) là một đường ___ có đỉnh là ___ và nhận trục ___ làm trục đối xứng. Nếu \(a > 0\), parabol có bề lõm hướng ___.","parabol; gốc tọa độ O(0,0); Oy; lên trên",Các đặc điểm chính của đồ thị hàm số \(y = ax^2\).,"Tên đường cong, điểm đặc biệt, trục đối xứng, hướng của parabol.",,
Short Answer/Open-ended,7,"Cho hàm số \(y = -2x^2\). Hàm số này đồng biến trên khoảng nào, nghịch biến trên khoảng nào? Đồ thị hàm số có đặc điểm gì nổi bật?","Vì \(a = -2 < 0\), nên: Hàm số đồng biến khi \(x < 0\) (tức là trên khoảng \((-\infty; 0)\)). Hàm số nghịch biến khi \(x > 0\) (tức là trên khoảng \((0; +\infty)\)). Đồ thị hàm số là một parabol có đỉnh O(0,0), nhận trục Oy làm trục đối xứng và có bề lõm quay xuống dưới.",Dựa vào dấu của hệ số a để xác định tính chất biến thiên và hình dạng đồ thị.,Xét dấu của hệ số a.,,
Identify the Error,7,Tìm lỗi sai trong phát biểu: 'Hàm số \(y = 3x^2\) luôn đồng biến trên R.',Lỗi sai: Hàm số \(y = 3x^2\) (với \(a=3>0\)) nghịch biến khi \(x < 0\) và đồng biến khi \(x > 0\). Nó không đồng biến trên toàn bộ R. Phát biểu đúng là: Hàm số đồng biến trên khoảng \((0; +\infty)\) và nghịch biến trên khoảng \((-\infty; 0)\).,Tính đồng biến/nghịch biến của hàm \(y=ax^2\) phụ thuộc vào dấu của x (trừ x=0).,Xét dấu của a và khoảng giá trị của x.,,
Ordering Steps,7,Sắp xếp các bước để vẽ đồ thị hàm số \(y = \frac{1}{2}x^2\).,Thứ tự đúng giúp vẽ đồ thị chính xác.,"Để vẽ đồ thị hàm số \(y=ax^2\), ta lập bảng giá trị bằng cách chọn một số giá trị của x (thường đối xứng qua 0) rồi tính các giá trị y tương ứng. Sau đó, biểu diễn các cặp điểm (x,y) này trên mặt phẳng tọa độ và nối chúng lại bằng một đường cong trơn (parabol) có đỉnh tại gốc tọa độ và nhận trục Oy làm trục đối xứng.",Bắt đầu bằng việc lập bảng giá trị.,,
,,,,,,"Lập bảng một số cặp giá trị (x, y) tương ứng. Ví dụ: x=-2 => y=2; x=-1 => y=1/2; x=0 => y=0; x=1 => y=1/2; x=2 => y=2.",1
,,,,,,Xác định các điểm đó trên mặt phẳng tọa độ Oxy.,2
,,,,,,"Vẽ đường cong parabol đi qua các điểm đã xác định, lưu ý đỉnh O(0,0) và trục đối xứng Oy. Vì \(a=1/2 > 0\), bề lõm hướng lên trên.",3
Concept/Theorem/Formula,7,Phương trình bậc hai một ẩn: Định nghĩa và công thức nghiệm,"Phương trình bậc hai một ẩn có dạng \(ax^2 + bx + c = 0\) (với \(a \ne 0\)). Biệt thức \(\Delta = b^2 - 4ac\). 1. Nếu \(\Delta > 0\), phương trình có hai nghiệm phân biệt: \(x_{1,2} = \frac{-b \pm \sqrt{\Delta}}{2a}\). 2. Nếu \(\Delta = 0\), phương trình có nghiệm kép: \(x_1 = x_2 = -\frac{b}{2a}\). 3. Nếu \(\Delta < 0\), phương trình vô nghiệm.",Biệt thức \(\Delta\) quyết định số nghiệm của phương trình bậc hai.,Tính \(\Delta\) trước.,,
Ordering Steps,7,Sắp xếp các bước giải phương trình bậc hai \(x^2 - 5x + 6 = 0\) bằng công thức nghiệm.,Thực hiện đúng các bước giúp tìm nghiệm chính xác.,"Giải phương trình bậc hai \(ax^2+bx+c=0\) bằng công thức nghiệm bao gồm: xác định các hệ số a, b, c; tính biệt thức \(\Delta = b^2-4ac\); dựa vào dấu của \(\Delta\) để kết luận số nghiệm và áp dụng công thức nghiệm \(x_{1,2} = \frac{-b \pm \sqrt{\Delta}}{2a}\) (nếu \(\Delta \ge 0\)).","Bắt đầu bằng việc xác định các hệ số a, b, c.",,
,,,,,,"Xác định các hệ số: \(a=1, b=-5, c=6\).",1
,,,,,,Tính biệt thức \(\Delta = b^2 - 4ac = (-5)^2 - 4 \cdot 1 \cdot 6 = 25 - 24 = 1\).,2
,,,,,,"Vì \(\Delta = 1 > 0\), phương trình có hai nghiệm phân biệt. Tính \(\sqrt{\Delta} = \sqrt{1} = 1\).",3
,,,,,,Áp dụng công thức nghiệm: \(x_1 = \frac{-(-5) + 1}{2 \cdot 1} = \frac{5+1}{2} = 3\).,4
,,,,,,Áp dụng công thức nghiệm: \(x_2 = \frac{-(-5) - 1}{2 \cdot 1} = \frac{5-1}{2} = 2\). Vậy phương trình có hai nghiệm là x=3 và x=2.,5
Identify the Error,7,Tìm lỗi sai trong cách giải phương trình \(x^2 + 2x + 1 = 0\): \(\Delta = 2^2 - 4 \cdot 1 \cdot 1 = 0\). Vậy phương trình vô nghiệm.,"Lỗi sai: Khi \(\Delta = 0\), phương trình có nghiệm kép, không phải vô nghiệm. Lời giải đúng: \(\Delta = 0\), phương trình có nghiệm kép \(x_1 = x_2 = -\frac{b}{2a} = -\frac{2}{2 \cdot 1} = -1\).",Cần nhớ đúng các trường hợp của \(\Delta\) và kết luận tương ứng.,Khi \(\Delta = 0\) thì phương trình có bao nhiêu nghiệm?,,
Short Answer/Open-ended,7,Giải phương trình \(3x^2 - 7x + 2 = 0\) bằng công thức nghiệm.,"Xác định \(a=3, b=-7, c=2\). Tính \(\Delta = b^2 - 4ac = (-7)^2 - 4 \cdot 3 \cdot 2 = 49 - 24 = 25\). Vì \(\Delta > 0\), phương trình có hai nghiệm phân biệt. \(\sqrt{\Delta} = \sqrt{25} = 5\). Nghiệm thứ nhất: \(x_1 = \frac{-(-7) + 5}{2 \cdot 3} = \frac{7+5}{6} = \frac{12}{6} = 2\). Nghiệm thứ hai: \(x_2 = \frac{-(-7) - 5}{2 \cdot 3} = \frac{7-5}{6} = \frac{2}{6} = \frac{1}{3}\).",Áp dụng đầy đủ các bước của công thức nghiệm.,"Tính delta, rồi áp dụng công thức nghiệm \(x_{1,2}\).",,
Concept/Theorem/Formula,7,Công thức nghiệm thu gọn của phương trình bậc hai,"Đối với phương trình \(ax^2 + bx + c = 0\) (với \(a \ne 0\)) và \(b = 2b'\), ta có biệt thức thu gọn \(\Delta' = (b')^2 - ac\). 1. Nếu \(\Delta' > 0\), phương trình có hai nghiệm phân biệt: \(x_{1,2} = \frac{-b' \pm \sqrt{\Delta'}}{a}\). 2. Nếu \(\Delta' = 0\), phương trình có nghiệm kép: \(x_1 = x_2 = -\frac{b'}{a}\). 3. Nếu \(\Delta' < 0\), phương trình vô nghiệm.",Công thức nghiệm thu gọn giúp tính toán đơn giản hơn khi hệ số b là số chẵn.,Sử dụng khi b chẵn. \(b' = b/2\).,,
What's the Next Step?,7,"Cho phương trình \(x^2 - 6x + 5 = 0\). Ta thấy \(b=-6\) là số chẵn, nên \(b' = -3\). Tính \(\Delta' = (b')^2 - ac = (-3)^2 - 1 \cdot 5 = 9 - 5 = 4\). Vì \(\Delta' > 0\), bước tiếp theo để tìm nghiệm là gì?",Áp dụng công thức nghiệm thu gọn: \(x_1 = \frac{-b' + \sqrt{\Delta'}}{a} = \frac{-(-3) + \sqrt{4}}{1} = 3+2 = 5\) và \(x_2 = \frac{-b' - \sqrt{\Delta'}}{a} = \frac{-(-3) - \sqrt{4}}{1} = 3-2 = 1\).,Sử dụng \(\Delta'\) và \(b'\) trong công thức nghiệm.,Công thức nghiệm với \(\Delta'\).,,
Concept/Theorem/Formula,7,Hệ thức Viète và ứng dụng,"Nếu phương trình bậc hai \(ax^2 + bx + c = 0\) (\(a \ne 0\)) có hai nghiệm \(x_1, x_2\) thì: Tổng hai nghiệm: \(S = x_1 + x_2 = -\frac{b}{a}\). Tích hai nghiệm: \(P = x_1 \cdot x_2 = \frac{c}{a}\). Ứng dụng: Nhẩm nghiệm (nếu \(a+b+c=0\) thì có nghiệm \(x_1=1, x_2=c/a\); nếu \(a-b+c=0\) thì có nghiệm \(x_1=-1, x_2=-c/a\)), tìm hai số khi biết tổng và tích, lập phương trình khi biết hai nghiệm.",Hệ thức Viète thiết lập mối quan hệ giữa các nghiệm và các hệ số của phương trình bậc hai.,"Tổng S, Tích P.",,
What's the Next Step?,7,Cho phương trình \(2x^2 - 5x + 3 = 0\). Ta thấy \(a+b+c = 2 + (-5) + 3 = 0\). Bước tiếp theo để kết luận nghiệm là gì?,Phương trình có một nghiệm là \(x_1 = 1\) và nghiệm còn lại là \(x_2 = \frac{c}{a} = \frac{3}{2}\).,Đây là ứng dụng của hệ thức Viète trong việc nhẩm nghiệm.,Trường hợp đặc biệt \(a+b+c=0\).,,
Fill in the Blank,7,"Nếu phương trình \(ax^2+bx+c=0\) (a≠0) có hai nghiệm \(x_1, x_2\) thì \(x_1+x_2 = \) ___ và \(x_1x_2 = \) ___.",-b/a; c/a,Công thức tổng và tích hai nghiệm theo hệ thức Viète.,S và P.,,
Short Answer/Open-ended,7,Tìm hai số u và v biết u + v = 5 và uv = 6.,"Hai số u và v là nghiệm của phương trình \(X^2 - SX + P = 0\), trong đó S = u+v = 5 và P = uv = 6. Ta có phương trình: \(X^2 - 5X + 6 = 0\). Giải phương trình này: \(\Delta = (-5)^2 - 4 \cdot 1 \cdot 6 = 25 - 24 = 1 > 0\). \(X_1 = \frac{5+1}{2} = 3\); \(X_2 = \frac{5-1}{2} = 2\). Vậy hai số cần tìm là 3 và 2.",Ứng dụng hệ thức Viète đảo: Nếu hai số có tổng S và tích P thì chúng là nghiệm của phương trình \(X^2 - SX + P = 0\).,Sử dụng phương trình \(X^2 - SX + P = 0\).,,
Short Answer/Open-ended,7,Cho parabol \(y = ax^2\). Tìm a biết parabol đi qua điểm M(-2; 8).,"Vì parabol \(y = ax^2\) đi qua điểm M(-2; 8) nên tọa độ của M thỏa mãn phương trình hàm số. Thay x = -2, y = 8 vào phương trình, ta được: \(8 = a(-2)^2 \Rightarrow 8 = a \cdot 4 \Rightarrow a = 8/4 = 2\). Vậy \(a=2\).",Điểm thuộc đồ thị thì tọa độ của nó phải thỏa mãn phương trình của đồ thị.,Thay tọa độ điểm M vào phương trình hàm số.,,
What's the Next Step?,7,Để giải phương trình \(x^2 - (2m+1)x + m^2+m = 0\) theo tham số m. Bước 1: Tính \(\Delta = (-(2m+1))^2 - 4(m^2+m) = (2m+1)^2 - 4m^2 - 4m\). Bước tiếp theo là gì?,Khai triển và rút gọn biểu thức \(\Delta\): \(\Delta = 4m^2 + 4m + 1 - 4m^2 - 4m = 1\).,"Sau khi rút gọn \(\Delta\), ta sẽ xét các trường hợp của \(\Delta\) để tìm nghiệm.",Khai triển hằng đẳng thức và thu gọn.,,
Ordering Steps,7,Sắp xếp các bước để giải bài toán: 'Một mảnh đất hình chữ nhật có chiều dài hơn chiều rộng 5m. Nếu giảm chiều dài đi 3m và tăng chiều rộng thêm 2m thì diện tích không đổi. Tính kích thước ban đầu.',Thứ tự đúng giúp giải bài toán một cách hệ thống.,Giải bài toán bằng cách lập phương trình bậc hai hoặc hệ phương trình.,Gọi chiều rộng là x.,,
,,,,,,"Gọi chiều rộng ban đầu là x (m, x > 0). Thì chiều dài ban đầu là x + 5 (m).",1
,,,,,,Diện tích ban đầu: \(S_1 = x(x+5)\) m².,2
,,,,,,"Kích thước mới: chiều dài \((x+5)-3 = x+2\) (m), chiều rộng \(x+2\) (m).",3
,,,,,,Diện tích mới: \(S_2 = (x+2)(x+2) = (x+2)^2\) m².,4
,,,,,,"Vì diện tích không đổi, ta có phương trình: \(x(x+5) = (x+2)^2\).",5
,,,,,,Giải phương trình: \(x^2+5x = x^2+4x+4 \Rightarrow 5x-4x = 4 \Rightarrow x = 4\).,6
,,,,,,"Kiểm tra điều kiện (x=4 > 0). Chiều rộng là 4m, chiều dài là 4+5=9m. Trả lời.",7
Fill in the Blank,7,Phương trình bậc hai \(ax^2+bx+c=0\) (a≠0) có nghiệm kép khi và chỉ khi biệt thức \(\Delta = \) ___ (hoặc \(\Delta' = \) ___). Khi đó nghiệm kép là \(x = \) ___ (hoặc \(x = \) ___).,0; 0; -b/(2a); -b'/a,Điều kiện và công thức nghiệm kép.,Delta bằng mấy? Công thức nghiệm khi delta bằng giá trị đó.,,
Short Answer/Open-ended,7,Lập phương trình bậc hai có hai nghiệm là 3 và -2.,"Gọi hai nghiệm là \(x_1 = 3\) và \(x_2 = -2\). Tổng hai nghiệm: \(S = x_1 + x_2 = 3 + (-2) = 1\). Tích hai nghiệm: \(P = x_1 \cdot x_2 = 3 \cdot (-2) = -6\). Phương trình bậc hai cần tìm có dạng \(X^2 - SX + P = 0\). Thay S và P vào, ta được: \(X^2 - 1X + (-6) = 0 \Leftrightarrow X^2 - X - 6 = 0\).",Sử dụng hệ thức Viète đảo để lập phương trình khi biết hai nghiệm.,Tính tổng S và tích P của hai nghiệm.,,
Identify the Error,7,"Tìm m để phương trình \(x^2 - mx + 4 = 0\) có nghiệm kép. Lỗi sai ở đâu trong giải: \(\Delta = (-m)^2 - 4 \cdot 4 = m^2 - 16\). Để có nghiệm kép, \(\Delta > 0 \Rightarrow m^2 - 16 > 0 \Rightarrow m^2 > 16 \Rightarrow m > 4\) hoặc \(m < -4\).","Lỗi sai: Điều kiện để phương trình có nghiệm kép là \(\Delta = 0\), không phải \(\Delta > 0\). Lời giải đúng: Để có nghiệm kép, \(\Delta = m^2 - 16 = 0 \Rightarrow m^2 = 16 \Rightarrow m = 4\) hoặc \(m = -4\).",Nhầm lẫn điều kiện có nghiệm kép với điều kiện có hai nghiệm phân biệt.,Điều kiện để phương trình có nghiệm kép là gì?,,
What's the Next Step?,7,"Phương trình \(2x^2 - 8x + 6 = 0\) có các hệ số a=2, b=-8, c=6. Ta thấy \(a+b+c = 2-8+6 = 0\). Vậy một nghiệm là \(x_1=1\). Bước tiếp theo để tìm nghiệm \(x_2\) là gì?",Sử dụng hệ thức Viète: \(x_2 = c/a = 6/2 = 3\).,Trường hợp nhẩm nghiệm đặc biệt.,Nếu a+b+c=0 thì nghiệm thứ hai là gì?,,
Ordering Steps,7,Sắp xếp các bước để biện luận số nghiệm của phương trình \(x^2 - 2mx + m^2 - m + 1 = 0\) theo tham số m.,Thứ tự đúng giúp biện luận đầy đủ các trường hợp.,Dựa vào dấu của biệt thức delta (hoặc delta phẩy).,Tính delta phẩy.,,
,,,,,,"Xác định các hệ số: \(a=1, b'=-m, c=m^2-m+1\).",1
,,,,,,Tính biệt thức thu gọn \(\Delta' = (b')^2 - ac = (-m)^2 - 1(m^2-m+1)\).,2
,,,,,,Rút gọn \(\Delta' = m^2 - m^2 + m - 1 = m - 1\).,3
,,,,,,"Trường hợp 1: Nếu \(\Delta' > 0 \Leftrightarrow m-1 > 0 \Leftrightarrow m > 1\), phương trình có hai nghiệm phân biệt.",4
,,,,,,"Trường hợp 2: Nếu \(\Delta' = 0 \Leftrightarrow m-1 = 0 \Leftrightarrow m = 1\), phương trình có nghiệm kép.",5
,,,,,,"Trường hợp 3: Nếu \(\Delta' < 0 \Leftrightarrow m-1 < 0 \Leftrightarrow m < 1\), phương trình vô nghiệm.",6
Short Answer/Open-ended,7,"Một vật rơi tự do từ độ cao h (m) so với mặt đất, quãng đường rơi s (m) sau thời gian t (giây) được cho bởi công thức \(s = \frac{1}{2}gt^2\), với \(g \approx 9.8 m/s^2\). Nếu một vật rơi từ độ cao 44.1m thì sau bao lâu chạm đất?","Khi vật chạm đất, quãng đường rơi s = h = 44.1m. Ta có phương trình: \(44.1 = \frac{1}{2} \cdot 9.8 \cdot t^2 \Rightarrow 44.1 = 4.9 t^2 \Rightarrow t^2 = \frac{44.1}{4.9} = 9\). Vì thời gian t > 0, nên \(t = \sqrt{9} = 3\) giây. Vậy sau 3 giây vật chạm đất.",Áp dụng công thức vật lý và giải phương trình.,Thay s = h vào công thức và giải tìm t.,,
Concept/Theorem/Formula,8,Đường tròn ngoại tiếp tam giác: Định nghĩa và cách xác định tâm,Đường tròn ngoại tiếp tam giác là đường tròn đi qua ba đỉnh của tam giác. Tâm của đường tròn ngoại tiếp tam giác là giao điểm của ba đường trung trực của ba cạnh tam giác. Mọi tam giác đều có một đường tròn ngoại tiếp duy nhất.,Tâm đường tròn ngoại tiếp cách đều ba đỉnh của tam giác.,Giao điểm ba đường trung trực.,,
Fill in the Blank,8,"Tâm của đường tròn ngoại tiếp một tam giác là giao điểm của ba đường ___ của tam giác đó. Đối với tam giác vuông, tâm đường tròn ngoại tiếp là ___ của cạnh ___.",trung trực; trung điểm; huyền,Cách xác định tâm đường tròn ngoại tiếp và trường hợp đặc biệt của tam giác vuông.,Đường vuông góc tại trung điểm. Cạnh dài nhất trong tam giác vuông.,,
Short Answer/Open-ended,8,Nêu cách vẽ đường tròn ngoại tiếp tam giác ABC nhọn.,"Bước 1: Vẽ đường trung trực d1 của cạnh AB. Bước 2: Vẽ đường trung trực d2 của cạnh AC. Bước 3: Gọi O là giao điểm của d1 và d2. O chính là tâm đường tròn ngoại tiếp. Bước 4: Vẽ đường tròn tâm O, bán kính OA (hoặc OB, hoặc OC).",Chỉ cần giao điểm của hai đường trung trực là đủ để xác định tâm.,Sử dụng tính chất giao điểm các đường trung trực.,,
Identify the Error,8,Phát biểu: 'Mọi tam giác đều có tâm đường tròn ngoại tiếp nằm bên trong tam giác.' Đúng hay sai? Giải thích.,"Sai. Đối với tam giác tù, tâm đường tròn ngoại tiếp nằm bên ngoài tam giác. Đối với tam giác vuông, tâm nằm trên cạnh huyền. Chỉ với tam giác nhọn, tâm mới nằm bên trong tam giác.","Vị trí tâm đường tròn ngoại tiếp phụ thuộc vào dạng của tam giác (nhọn, vuông, tù).",Xét trường hợp tam giác tù.,,
Concept/Theorem/Formula,8,Đường tròn nội tiếp tam giác: Định nghĩa và cách xác định tâm,Đường tròn nội tiếp tam giác là đường tròn tiếp xúc với ba cạnh của tam giác. Tâm của đường tròn nội tiếp tam giác là giao điểm của ba đường phân giác trong của ba góc tam giác. Mọi tam giác đều có một đường tròn nội tiếp duy nhất.,Tâm đường tròn nội tiếp cách đều ba cạnh của tam giác.,Giao điểm ba đường phân giác trong.,,
